Months_as_a_Customer	Number_of_Products	RFM_Score	Average_Balance_Feed_Index	Number_of_Transactions	Personal_Debt_to_Equity_Ratio	Months_Current_Account	Number_of_Loan_Accounts	Customer_ID	Has_Bad_Payment_Record	Members_Within_Household	Number_of_Call_Center_Contacts	Weeks_Since_Last_Offer	Accepted_Personal_Loan	Accepted_Retention	Accepted_Home_Equity_Loan	Accepted_Credit_Card	Annual_value	Interested_in_Personal_Loan	Interested_in_Retention	Interested_in_Home_Equity_Loan	Interested_in_Credit_Card
12	0	0	0	0	20	5	0	6946	0	5	7	33	T	F	F	T	0	F	F	T	F
0	0	0	0	0	42	-4	4	7068	0	3	9	50	F	F	F	F	400	F	F	T	F
24	2	9	154	2	28	17	1	7100	0	2	6	25	F	F	F	F	160	F	F	F	F
24	0	0	0	0	28	12	2	7186	0	4	0	9	F	F	F	F	200	T	F	F	F
36	0	0	0	0	41	24	1	7266	0	1	0	10	F	F	F	F	100	F	F	F	F
0	0	0	0	0	28	-1	0	6989	0	1	0	35	F	F	F	T	0	F	F	F	F
36	0	0	0	0	49	25	1	7048	0	2	0	2	T	F	F	F	100	F	F	F	F
24	3	9	100	1	43	18	0	7367	0	2	11	10	T	F	F	F	90	F	F	T	F
12	0	0	0	0	44	10	1	10692	0	3	10	4	F	T	F	F	100	F	F	F	F
48	0	0	0	0	40	36	2	1478	0	2	4	2	F	F	F	F	200	F	F	F	F
24	0	0	0	0	43	17	1	1644	0	6	10	31	F	F	F	F	100	F	F	F	F
0	0	0	0	0	22	-2	2	10844	0	6	8	3	F	F	F	F	200	F	F	F	T
0	0	0	0	0	32	-4	1	37	0	1	0	49	F	F	F	F	100	F	F	F	F
36	0	0	0	0	64	32	0	11044	0	5	10	14	F	F	F	F	0	F	F	F	T
48	4	13	129	1	34	36	0	53	0	2	9	37	F	F	F	F	120	F	F	F	F
36	0	0	0	0	38	32	0	1695	0	5	9	35	F	F	F	F	0	F	F	F	F
12	1	8	150	1	33	9	1	1794	0	4	10	2	F	F	T	F	130	F	F	T	F
48	4	11	148	2	39	39	0	11362	0	3	11	14	F	F	F	F	120	F	F	F	F
12	2	0	0	0	50	-1	0	11380	0	2	9	17	F	F	F	F	60	T	F	F	F
36	3	12	200	3	37	24	1	469	0	4	8	25	F	T	F	T	190	F	F	F	F
48	4	10	169	1	44	36	1	11548	0	4	9	36	F	F	F	F	220	F	F	F	F
48	0	0	0	0	16	35	1	11565	0	3	11	2	F	F	F	F	100	F	F	F	T
36	2	9	299	1	33	24	0	769	0	2	10	47	F	F	F	F	60	F	F	F	F
0	0	0	0	0	38	-5	1	5471	0	3	10	5	T	F	F	T	100	F	F	F	T
12	0	0	0	0	40	8	0	5504	0	3	9	9	F	F	T	F	0	F	F	F	F
36	2	9	249	1	46	32	0	5520	0	5	10	6	F	F	F	F	60	F	F	F	F
36	0	0	0	0	30	34	2	11814	0	6	11	13	F	T	F	F	200	T	F	F	T
12	0	0	0	0	58	5	2	11831	0	7	6	43	F	F	F	F	200	F	F	F	F
36	0	0	0	0	41	31	0	1012	0	2	11	43	F	F	F	F	0	F	T	F	F
12	0	0	0	0	36	8	1	5606	0	2	9	43	T	F	F	F	100	F	T	T	F
36	4	9	109	2	44	32	0	5656	0	1	11	22	F	F	F	F	120	F	F	F	F
0	0	0	0	0	31	-5	0	12080	0	1	8	2	F	T	F	T	0	F	F	F	F
0	2	0	0	0	49	-1	2	12333	0	6	9	17	F	T	F	F	260	F	F	F	F
12	0	0	0	0	18	11	0	12366	0	3	8	32	F	F	F	F	0	F	T	F	F
0	0	0	0	0	33	-4	2	1416	0	6	11	50	F	F	T	F	200	F	F	F	F
36	2	8	148	2	48	27	0	12450	0	5	9	18	T	F	F	F	60	T	F	F	F
24	0	0	0	0	39	17	1	6208	0	6	7	28	F	F	F	F	100	F	T	F	T
24	0	0	0	0	25	12	4	1707	0	3	10	15	F	T	F	F	400	F	F	F	F
0	0	0	0	0	40	-1	4	6258	0	1	0	19	F	F	F	T	400	F	F	F	F
24	0	0	0	0	40	11	0	6275	0	3	7	29	F	F	T	F	0	F	T	T	F
24	0	0	0	0	52	19	1	6390	0	4	9	13	F	F	F	T	100	F	F	F	F
24	0	0	0	0	13	18	2	6407	0	1	11	36	F	F	F	F	200	F	F	T	F
0	0	0	0	0	39	-6	1	1975	0	3	10	36	F	F	F	T	100	F	F	F	F
36	0	0	0	0	29	33	1	449	0	3	8	47	F	F	F	T	100	F	F	F	F
36	0	0	0	0	59	30	0	6592	0	7	9	44	F	F	F	T	0	F	F	F	F
48	0	0	0	0	40	40	0	6706	0	3	0	44	F	F	T	F	0	F	F	F	F
24	2	8	349	1	57	21	0	515	0	4	5	52	F	F	T	F	60	F	F	F	F
36	0	0	0	0	28	26	1	6757	0	1	8	3	F	F	F	F	100	F	F	F	F
36	4	11	362	3	54	33	0	7110	0	6	8	22	F	F	F	F	120	F	F	F	F
12	4	9	249	1	43	10	0	7176	0	4	11	27	F	F	F	F	120	F	F	F	F
0	0	0	0	0	46	-5	1	1266	0	4	11	45	F	F	F	T	100	F	F	F	T
36	0	0	0	0	35	23	1	11594	0	6	10	20	F	F	F	F	100	F	F	F	T
24	3	8	124	1	36	19	4	11635	0	1	9	48	F	F	F	F	490	F	F	F	F
0	0	0	0	0	35	-6	0	11749	0	1	11	3	F	F	F	F	0	F	F	F	F
36	0	0	0	0	50	23	0	11753	0	5	9	18	F	F	F	F	0	F	F	F	F
0	0	0	0	0	54	-6	0	7294	0	6	7	47	F	F	F	F	0	F	F	F	F
24	0	0	0	0	52	11	3	10684	0	4	9	27	F	F	F	F	300	F	F	F	F
36	7	15	506	4	27	32	0	1586	0	2	11	5	F	F	F	F	210	F	F	F	F
24	0	0	0	0	49	15	1	1620	0	6	10	9	F	T	F	F	100	F	F	F	F
24	1	10	179	1	39	17	0	10719	0	5	8	28	F	F	F	F	30	F	F	T	F
24	6	10	248	3	60	13	2	10853	0	5	10	13	F	F	F	F	380	F	F	F	F
0	1	0	0	0	24	-4	0	1669	0	6	10	17	F	F	F	F	30	F	T	F	F
0	0	0	0	0	42	-2	3	12012	0	5	9	32	F	F	F	F	300	F	F	F	T
48	0	0	0	0	32	38	1	12192	0	1	9	8	F	F	T	F	100	F	F	F	F
48	0	0	0	0	34	38	1	10918	0	1	10	52	F	F	T	F	100	F	F	F	F
48	0	0	0	0	38	36	0	10955	0	2	8	24	F	F	F	F	0	F	F	F	F
36	0	0	0	0	24	33	0	11002	0	5	0	5	F	F	F	F	0	F	F	F	F
36	0	0	0	0	35	33	0	1968	0	1	10	34	F	T	F	F	0	F	F	T	F
48	4	10	97	3	48	35	0	12237	0	7	5	51	F	F	F	F	120	F	F	F	F
24	0	0	0	0	35	13	0	12401	0	1	8	30	F	F	F	F	0	F	T	F	F
48	0	0	0	0	44	40	0	11254	0	2	7	17	T	F	F	F	0	F	T	F	F
24	0	0	0	0	49	20	0	16174	0	1	11	19	F	T	F	F	0	F	F	T	F
0	0	0	0	0	19	-1	2	12603	0	6	11	49	F	F	F	F	200	F	F	F	F
24	0	0	0	0	51	17	0	7364	0	7	8	15	T	F	F	F	0	T	T	F	F
24	0	0	0	0	35	13	1	7371	0	1	10	12	F	T	T	F	100	F	F	F	F
48	0	0	0	0	18	37	0	11353	0	2	10	9	F	F	F	F	0	F	F	F	F
24	0	0	0	0	23	15	1	11473	0	1	10	33	F	F	F	F	100	F	F	F	F
36	0	0	0	0	49	29	0	16542	0	1	11	45	F	F	F	F	0	F	F	F	F
36	0	0	0	0	55	29	1	16595	0	3	9	23	F	F	F	T	100	F	T	F	F
12	2	0	0	0	61	0	1	11740	0	6	8	2	F	F	F	T	160	F	F	F	T
48	2	11	229	2	34	36	0	7625	0	1	10	3	F	F	T	F	60	F	T	F	T
48	0	0	0	0	41	36	0	16760	0	3	9	41	F	F	F	F	0	F	F	T	F
36	1	13	299	1	55	27	1	16827	0	7	9	23	F	F	F	F	130	F	T	F	T
12	2	0	0	0	54	0	3	11954	0	2	9	33	F	F	F	F	360	F	F	F	F
0	0	0	0	0	52	-4	7	7957	0	2	9	23	F	F	F	F	700	F	F	F	F
36	0	0	0	0	65	28	7	16912	0	7	9	43	F	F	F	F	700	F	F	F	F
48	0	0	0	0	31	40	0	16929	0	4	10	25	F	F	F	F	0	F	F	F	F
0	0	0	0	0	33	-5	0	16979	0	3	11	24	F	T	F	F	0	F	F	F	T
36	0	0	0	0	75	26	0	17060	0	7	11	41	F	F	F	F	0	F	F	F	F
12	0	0	0	0	32	5	0	12057	0	3	11	36	T	F	F	F	0	F	F	F	F
12	2	9	355	2	32	6	4	8089	0	6	0	44	T	T	F	F	460	F	F	F	F
36	0	0	0	0	16	24	1	8175	0	5	8	50	T	F	F	F	100	F	F	F	T
12	14	10	378	2	43	7	1	17193	0	3	9	31	F	F	T	F	520	F	F	F	F
12	3	11	109	2	41	10	4	8359	0	5	0	36	F	F	F	F	490	F	F	F	F
24	2	9	443	2	32	15	3	12241	0	6	5	7	F	F	F	F	360	F	F	F	F
36	4	8	59	1	20	30	0	12389	0	3	8	39	F	F	F	F	120	F	F	F	F
48	0	0	0	0	34	35	3	17529	0	3	9	25	F	F	F	F	300	F	F	F	F
24	0	0	0	0	64	23	0	8716	0	6	7	51	F	F	F	F	0	F	F	F	F
36	2	10	120	1	49	35	0	12574	0	1	9	50	F	F	F	F	60	F	F	F	F
36	1	10	104	1	23	23	3	17713	0	3	7	6	F	F	F	F	330	F	F	F	F
36	4	9	91	2	16	24	0	17798	0	6	10	7	F	T	F	F	120	F	F	F	F
0	1	0	0	0	44	-3	2	8743	0	5	10	50	F	F	F	F	230	F	F	F	T
24	6	12	137	3	69	14	7	8825	0	3	11	6	F	F	F	F	880	F	F	F	F
36	2	7	4	1	35	32	0	8918	0	4	11	1	F	T	F	F	60	F	F	F	F
36	0	0	0	0	41	33	0	8961	0	1	6	20	F	F	T	F	0	F	F	F	F
0	0	0	0	0	38	-3	1	7394	0	5	10	17	F	F	F	F	100	F	F	F	T
36	2	10	69	1	43	25	1	7459	0	5	11	52	F	F	F	F	160	F	F	F	F
36	0	0	0	0	36	31	0	7542	0	1	10	9	F	F	T	F	0	F	F	F	F
48	3	11	69	2	35	35	0	8977	0	5	0	43	F	F	F	F	90	T	F	F	F
12	0	0	0	0	39	6	0	9184	0	1	10	26	F	F	F	F	0	F	F	F	F
48	0	0	0	0	82	41	0	9193	0	4	7	45	F	F	F	F	0	F	T	F	F
24	0	0	0	0	11	14	0	7629	0	2	9	27	F	F	F	F	0	F	F	F	F
0	1	0	0	0	50	-4	0	7695	0	5	9	33	F	F	F	F	30	F	F	T	F
12	3	13	122	2	43	5	2	9361	0	6	7	51	F	T	F	F	290	F	F	F	F
12	0	0	0	0	51	5	1	9393	0	1	0	10	F	F	F	F	100	F	F	F	F
12	2	13	42	2	49	10	3	13085	0	6	8	13	F	F	F	F	360	F	F	F	F
24	5	8	185	2	46	14	3	7929	0	5	0	24	T	F	F	F	450	F	F	F	F
48	0	0	0	0	40	38	0	2234	0	4	11	24	F	T	F	F	0	F	F	F	F
12	4	10	338	2	29	9	0	8144	0	2	9	15	F	F	F	F	120	F	F	F	F
0	0	0	0	0	38	-5	2	2302	0	5	10	4	F	T	T	F	200	F	F	F	F
0	0	0	0	0	38	-7	4	2382	0	5	0	9	F	F	F	F	400	F	F	F	F
36	2	12	169	1	50	31	2	13585	0	2	0	40	F	T	F	T	260	F	F	T	F
36	0	0	0	0	23	25	1	8361	0	2	11	43	F	F	F	F	100	F	F	F	F
24	4	10	142	3	29	22	0	8364	0	6	1	40	F	F	F	F	120	F	F	F	F
12	0	0	0	0	51	6	2	8445	0	2	8	39	F	F	T	F	200	F	F	F	F
36	0	0	0	0	48	33	1	2850	0	4	7	27	F	F	F	F	100	F	F	T	F
24	0	0	0	0	42	20	1	13935	0	1	10	3	F	F	F	F	100	T	T	F	F
24	2	11	599	1	56	17	1	8781	0	3	0	38	F	F	F	F	160	F	F	F	F
0	0	0	0	0	44	-3	0	8913	0	4	10	9	F	F	F	F	0	F	F	F	F
48	3	12	208	2	23	37	2	3070	0	2	9	38	F	F	F	F	290	F	F	F	F
24	0	0	0	0	47	21	1	14220	0	5	10	46	F	F	F	F	100	F	F	F	F
12	5	14	368	3	42	9	3	3395	0	2	9	7	T	F	F	F	450	F	F	F	F
36	0	0	0	0	42	30	0	9131	0	6	10	41	F	F	F	F	0	F	F	F	F
36	0	0	0	0	49	34	1	14436	0	7	9	10	F	T	F	F	100	F	F	T	F
36	0	0	0	0	39	26	1	14539	0	2	0	40	F	F	T	F	100	F	T	F	F
36	1	7	139	1	31	25	0	3463	0	6	11	8	F	F	F	F	30	F	F	F	T
36	0	0	0	0	51	26	0	3636	0	2	6	6	F	F	T	F	0	F	F	F	F
0	0	0	0	0	49	-5	1	14654	0	2	10	17	F	T	F	F	100	F	F	F	F
12	0	0	0	0	49	6	2	9213	0	3	8	41	T	T	F	F	200	F	T	F	F
36	0	0	0	0	36	28	0	9263	0	5	9	48	F	F	T	F	0	F	T	F	F
36	0	0	0	0	30	31	3	7684	0	2	11	30	F	F	F	F	300	F	F	F	F
0	1	0	0	0	38	-1	2	7820	0	2	0	17	F	T	F	F	230	F	F	F	F
24	2	8	399	1	33	17	2	2296	0	3	0	2	T	T	F	T	260	F	T	F	F
36	0	0	0	0	31	27	1	2297	0	6	10	40	T	F	F	F	100	F	F	F	F
24	0	0	0	0	40	23	0	2344	0	4	8	7	F	F	T	F	0	F	F	F	F
36	0	0	0	0	23	34	2	2495	0	1	11	50	F	F	T	F	200	F	F	F	F
12	0	0	0	0	50	8	4	2529	0	6	9	32	F	F	F	F	400	F	F	F	F
36	0	0	0	0	40	35	1	9747	0	6	0	34	F	F	F	F	100	F	F	F	F
24	0	0	0	0	53	12	1	9804	0	4	8	44	F	F	F	F	100	F	F	F	F
24	2	9	129	1	47	15	5	2664	0	6	7	31	F	F	F	F	560	F	F	F	F
48	0	0	0	0	36	37	1	2749	0	3	9	16	F	F	F	F	100	F	F	T	F
36	2	11	109	1	51	23	2	8523	0	7	9	36	T	F	F	F	260	F	F	F	F
0	1	0	0	0	34	-3	3	8603	0	4	0	18	F	F	F	F	330	F	F	F	F
24	2	9	49	1	30	14	0	10304	0	3	7	40	F	F	F	F	60	F	F	F	F
12	0	0	0	0	64	6	0	2982	0	3	9	45	T	F	F	F	0	F	F	F	F
24	0	0	0	0	62	13	1	3014	0	3	11	10	F	F	F	T	100	F	F	F	F
12	0	0	0	0	38	5	0	3046	0	4	8	36	F	F	F	F	0	F	F	F	F
36	0	0	0	0	21	33	0	3133	0	2	10	20	F	F	F	F	0	F	T	T	F
24	3	13	219	1	58	20	3	3330	0	6	9	30	F	F	F	F	390	F	F	F	F
36	3	9	174	2	54	26	2	8972	0	6	0	48	T	F	T	F	290	F	F	F	F
36	0	0	0	0	45	25	2	21318	0	3	0	39	T	F	F	F	200	F	F	T	F
48	4	11	270	3	35	36	1	3347	0	2	11	1	F	T	F	F	220	F	T	F	T
24	0	0	0	0	34	23	0	9124	0	3	4	10	F	F	F	F	0	F	F	T	F
0	0	0	0	0	41	-3	0	3599	0	4	7	14	F	F	F	F	0	F	T	F	F
48	3	7	150	1	45	37	0	3667	0	2	11	1	F	F	T	T	90	F	F	T	F
24	1	11	89	1	45	16	1	3766	0	3	7	12	F	F	F	F	130	F	F	F	F
12	4	9	284	2	37	5	0	3784	0	3	8	29	F	F	F	F	120	T	F	F	F
12	0	0	0	0	59	0	0	9341	0	2	7	11	T	F	F	F	0	F	F	F	F
36	1	11	349	1	47	24	1	2136	0	5	8	20	F	F	F	F	130	F	F	F	F
12	0	0	0	0	36	10	0	21836	0	5	0	31	T	F	F	F	0	F	F	F	F
12	4	11	551	4	27	7	0	3818	0	5	7	47	F	T	F	F	120	F	F	F	F
0	0	0	0	0	51	-6	2	3849	0	7	10	19	F	F	F	F	200	F	F	T	F
24	3	11	193	2	56	13	3	2369	0	3	9	10	F	F	F	T	390	F	F	F	F
36	0	0	0	0	40	23	1	4050	0	6	11	17	F	T	F	F	100	F	F	F	F
24	0	0	0	0	35	12	4	2489	0	6	11	29	F	F	F	F	400	F	F	F	F
0	1	0	0	0	42	-2	3	16088	0	3	0	12	F	F	F	F	330	F	T	F	F
48	0	0	0	0	17	37	1	16136	0	4	0	27	F	F	F	F	100	F	F	F	F
36	0	0	0	0	49	31	0	16163	0	4	9	27	F	F	F	F	0	F	F	F	T
36	2	8	199	1	37	32	0	2656	0	6	9	17	F	F	F	F	60	F	F	F	F
36	0	0	0	0	43	31	1	2837	0	5	8	6	F	F	T	F	100	F	F	F	T
24	0	0	0	0	41	17	1	16381	0	2	0	16	F	F	F	F	100	F	T	F	F
24	0	0	0	0	49	18	0	16488	0	6	11	24	F	F	F	F	0	F	F	F	F
36	0	0	0	0	38	30	0	9699	0	5	9	42	T	F	F	F	0	F	F	F	F
12	0	0	0	0	33	7	1	16622	0	1	0	38	F	T	F	F	100	F	F	F	T
36	4	13	64	3	14	24	0	3223	0	4	11	19	F	F	F	F	120	F	F	F	F
24	0	0	0	0	42	15	7	3524	0	1	10	43	F	F	T	F	700	F	F	F	F
0	8	0	0	0	49	-4	4	17006	0	3	8	48	F	F	F	F	640	F	F	F	F
36	0	0	0	0	46	27	0	17040	0	2	11	2	F	F	F	F	0	F	F	F	F
36	2	11	208	2	38	33	2	17049	0	3	11	4	F	F	F	F	260	F	F	F	T
36	0	0	0	0	28	31	0	17101	0	5	9	44	F	F	T	T	0	F	F	F	F
36	0	0	0	0	51	28	2	17190	0	5	10	39	F	F	F	F	200	F	F	F	T
48	0	0	0	0	48	37	3	10369	0	7	10	17	F	T	F	F	300	F	F	F	F
24	0	0	0	0	31	15	1	10453	0	2	8	21	F	F	F	F	100	F	T	F	F
36	4	11	299	1	18	25	1	3876	0	1	10	19	F	F	F	F	220	F	F	F	F
24	0	0	0	0	42	23	1	17360	0	6	11	14	F	F	T	F	100	F	T	F	F
12	0	0	0	0	45	5	1	21265	0	3	10	4	F	T	F	F	100	F	F	F	F
24	0	0	0	0	33	16	2	21280	0	5	0	36	F	F	F	F	200	F	T	F	F
0	0	0	0	0	27	-4	0	21350	0	5	9	11	F	T	F	F	0	F	F	F	F
48	0	0	0	0	20	37	0	17594	0	5	0	10	F	F	T	T	0	F	F	F	F
12	0	0	0	0	26	9	0	17649	0	1	10	31	F	F	F	F	0	F	F	T	F
0	0	0	0	0	71	-5	1	21464	0	6	10	17	T	F	F	F	100	F	F	F	F
36	4	10	168	3	39	25	7	17694	0	2	11	10	F	F	F	F	820	F	F	F	T
36	2	10	120	1	44	28	1	17826	0	2	8	36	F	F	F	F	160	F	F	F	F
48	2	8	189	1	26	38	0	21699	0	3	9	40	T	F	F	F	60	F	T	F	T
48	0	0	0	0	29	39	2	21818	0	1	11	31	F	F	F	T	200	F	T	F	T
24	3	12	297	3	56	13	3	21848	0	2	11	49	T	T	F	F	390	F	F	F	F
0	0	0	0	0	41	-5	1	21918	0	2	0	34	F	F	F	T	100	F	F	F	F
36	4	12	164	3	34	34	0	16017	0	2	10	27	F	F	F	F	120	F	F	F	F
36	0	0	0	0	40	34	2	16115	0	6	11	36	F	F	F	F	200	F	F	F	F
12	2	10	249	2	30	7	0	16754	0	3	10	32	F	F	F	F	60	F	F	F	F
0	3	0	0	0	34	-3	0	17121	0	4	10	24	F	F	F	F	90	F	T	F	F
48	0	0	0	0	37	37	0	17403	0	5	9	47	F	F	F	F	0	F	F	F	F
36	2	7	20	1	32	35	0	17487	0	3	11	21	T	F	F	F	60	F	F	F	F
48	0	0	0	0	36	38	2	17539	0	4	11	49	F	F	F	F	200	F	F	F	F
0	0	0	0	0	59	-6	0	17673	0	7	10	47	F	F	F	F	0	F	T	F	F
48	0	0	0	0	46	37	1	6418	0	3	9	9	T	F	F	F	100	F	F	F	F
12	1	0	0	0	39	0	0	6513	0	4	0	42	F	F	F	F	30	F	F	F	F
24	3	11	69	2	38	16	1	6579	0	3	7	52	T	F	F	F	190	F	F	T	F
48	1	11	150	1	27	37	0	6638	0	3	11	25	F	F	F	F	30	F	F	F	F
36	0	0	0	0	34	32	0	6829	0	2	8	52	F	T	F	F	0	F	F	T	T
36	2	8	40	1	36	25	1	6979	0	3	0	8	F	F	F	F	160	F	F	F	F
24	0	0	0	0	39	20	1	7029	0	4	10	35	F	F	F	F	100	F	F	F	F
12	1	8	89	1	29	8	3	7197	0	6	9	5	F	F	T	F	330	F	F	F	F
24	0	0	0	0	30	15	0	7222	0	1	7	47	F	F	F	F	0	F	F	F	F
24	0	0	0	0	46	13	0	17921	0	2	11	36	F	F	F	F	0	F	F	F	F
24	0	0	0	0	38	16	4	17944	0	1	9	35	F	F	F	F	400	F	T	F	F
0	0	0	0	0	34	-5	0	12705	0	3	9	23	F	F	F	F	0	T	F	F	F
48	2	9	304	2	67	36	1	12760	0	7	11	12	F	F	T	F	160	F	F	F	F
36	2	11	179	1	49	27	2	12805	0	7	10	4	F	F	F	F	260	F	T	T	F
48	0	0	0	0	36	36	0	12912	0	5	10	4	F	F	F	F	0	F	F	F	F
12	4	10	94	2	34	6	1	14939	0	4	11	29	T	F	F	F	220	F	T	F	F
0	0	0	0	0	41	-6	0	14988	0	3	0	7	F	F	F	F	0	F	F	F	T
24	0	0	0	0	45	16	0	13089	0	3	8	45	F	F	F	T	0	F	F	F	F
0	0	0	0	0	43	-2	2	13125	0	2	9	3	T	F	F	T	200	F	F	F	F
48	0	0	0	0	49	37	2	13143	0	3	9	22	F	F	F	F	200	F	F	F	F
24	0	0	0	0	40	15	0	13355	0	5	11	8	F	F	F	F	0	F	F	F	F
12	0	0	0	0	46	5	1	13362	0	6	9	47	F	F	F	F	100	F	T	F	F
0	0	0	0	0	63	-6	1	15255	0	5	11	47	T	F	F	F	100	F	F	F	T
24	0	0	0	0	22	19	3	13582	0	6	10	36	T	F	F	F	300	F	F	F	F
24	0	0	0	0	34	11	1	15472	0	5	10	19	F	F	F	F	100	T	F	T	F
36	0	0	0	0	48	34	2	13225	0	7	11	44	F	T	F	F	200	F	F	T	F
48	0	0	0	0	38	40	1	13358	0	5	11	42	T	F	F	F	100	F	F	F	F
36	4	0	159	1	49	34	1	13830	0	5	9	34	F	F	F	F	220	F	F	F	F
36	0	0	0	0	33	26	4	13458	0	3	0	16	F	F	F	F	400	F	F	F	F
36	0	0	0	0	26	23	0	13610	0	5	10	11	T	F	F	T	0	F	F	F	F
12	0	0	0	0	48	9	2	13727	0	2	10	22	T	F	F	F	200	F	F	F	T
12	2	8	59	1	34	9	2	14282	0	4	9	35	F	F	F	F	260	F	T	F	F
0	0	0	0	0	37	-4	0	14602	0	5	10	37	T	T	F	F	0	F	T	F	F
48	2	8	129	2	31	38	0	26972	0	3	8	9	F	T	F	F	60	F	F	F	T
48	55	33	656	26	44	37	0	13911	0	1	6	45	F	F	F	F	1650	T	F	T	F
36	1	8	120	1	50	33	2	13945	0	4	0	21	F	F	F	F	230	F	F	F	F
0	0	0	0	0	35	-2	0	14378	0	6	9	41	F	F	F	F	0	F	F	F	F
12	0	0	0	0	53	8	0	14545	0	6	7	31	F	T	F	F	0	F	F	F	F
48	2	11	89	1	29	36	0	14580	0	5	10	18	F	F	F	F	60	F	F	T	F
36	0	0	0	0	44	28	1	14581	0	5	10	16	F	F	F	F	100	F	F	T	F
0	0	0	0	0	28	-6	3	27139	0	5	10	3	F	T	F	F	300	F	F	F	F
36	0	0	0	0	39	33	0	27140	0	4	8	6	F	T	F	F	0	F	F	F	F
24	0	0	0	0	42	13	0	27156	0	3	10	52	F	F	F	F	0	F	F	F	F
36	0	0	0	0	39	25	1	27157	0	1	9	13	F	F	F	F	100	F	F	F	F
12	3	8	299	1	33	10	0	27255	0	3	10	30	F	F	F	F	90	F	F	F	F
12	4	10	74	3	33	10	2	27306	0	5	11	20	F	F	F	F	320	F	F	F	F
36	3	9	299	1	45	28	3	14681	0	6	10	7	F	F	F	F	390	F	F	T	F
48	0	0	0	0	49	36	1	15211	0	5	9	20	F	F	F	F	100	F	F	T	F
12	0	0	0	0	43	7	1	15079	0	5	0	47	F	F	F	F	100	F	F	F	F
24	5	11	65	3	32	20	1	15181	0	2	10	42	F	F	F	T	250	F	F	T	F
24	0	0	0	0	48	19	3	15213	0	1	11	7	F	F	F	F	300	F	F	F	F
24	2	8	219	1	42	14	0	15214	0	5	4	28	F	F	T	F	60	F	F	F	F
36	0	0	0	0	39	32	0	15359	0	4	10	11	F	F	F	F	0	F	F	F	F
36	0	0	0	0	23	35	3	15477	0	5	5	52	F	F	F	F	300	F	F	F	F
36	0	0	0	0	39	28	2	15695	0	5	1	3	T	F	F	F	200	F	F	F	F
24	0	0	0	0	44	17	3	15849	0	6	9	37	F	F	F	F	300	F	F	F	F
12	0	0	0	0	42	9	3	26618	0	2	9	44	F	F	F	F	300	F	F	F	F
24	2	9	89	1	40	14	1	26813	0	3	0	27	F	F	F	F	160	F	F	F	F
